Model,Error Condition,External Relationship,Method,Time to Complete (mins),CFI,TLI,RMSEA,Reliability: Engage,Reliability: Instruct,Reliability: Manage
Three Factor,None,None,ACO,1.607,0.98,0.974,0.042,0.788,0.85,0.836
,None,None,SA,2.873,0.992,0.99,0.023,0.764,0.829,0.806
,None,None,TS,2.779,0.989,0.986,0.027,0.76,0.827,0.809
,None,None,GA,2.104,0.979,0.973,0.042,0.763,0.846,0.82
,None,Moderate,ACO,1.719,0.977,0.97,0.047,0.781,0.858,0.842
,None,Moderate,SA,3.13,0.988,0.984,0.032,0.767,0.833,0.807
,None,Moderate,TS,3.194,0.983,0.978,0.037,0.767,0.834,0.8
,None,Moderate,GA,2.055,0.977,0.97,0.046,0.768,0.848,0.824
,Major,None,ACO,1.389,0.953,0.939,0.062,0.777,0.844,0.818
,Major,None,SA,2.543,0.989,0.986,0.027,0.748,0.831,0.804
,Major,None,TS,2.463,0.961,0.95,0.053,0.742,0.828,0.8
,Major,None,GA,1.759,0.909,0.882,0.089,0.753,0.832,0.805
,Major,Moderate,ACO,1.511,0.964,0.953,0.057,0.772,0.843,0.835
,Major,Moderate,SA,2.587,0.984,0.979,0.036,0.760,0.826,0.807
,Major,Moderate,TS,2.645,0.953,0.939,0.061,0.751,0.827,0.803
,Major,Moderate,GA,1.617,0.907,0.880,0.091,0.752,0.829,0.813
